obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.009333550263662541,-39.99695587158203,4.074366569519043,0.5278103947639465,0.8124532699584961,-39.90851974487305,4.101113796234131,0.3622119426727295,0.8553060293197632,-29.098203659057617,0.4400936961174011,0.7957334518432617,948.952380952381,84.0,-454.7547912597656,-454.7547912597656,186.25417828559875,84.0,41,82000,440.25857972572675,40.029212951660156,1.4763292074203491,0.32496944069862366
0.0,0.9999999403953552,0.009149642450409314,-41.160743713378906,3.875260591506958,0.4701142907142639,0.8137811422348022,-41.01428985595703,3.8937292098999023,0.3622119426727295,0.8553060293197632,-29.4137020111084,0.4398886263370514,0.796299934387207,948.952380952381,84.0,-454.7547912597656,-454.7547912597656,190.63304090499878,84.0,42,84000,440.63715083819636,40.256038665771484,2.694978713989258,0.2314925491809845
0.0,0.9999999403953552,0.009712529831903797,-41.4041633605957,3.534458875656128,0.7096484899520874,0.6500338912010193,-41.30626678466797,3.567028760910034,0.3622119426727295,0.8553060293197632,-29.651525497436523,0.43456581234931946,0.7999296188354492,948.952380952381,84.0,-454.7547912597656,-454.7547912597656,195.0320749282837,84.0,43,86000,440.953110054454,40.25263977050781,3.271441698074341,0.18336842954158783
0.0,0.9999999403953552,0.009333550263662541,-40.509544372558594,3.94038987159729,0.4896562993526459,0.8337814211845398,-40.41352844238281,3.951820135116577,0.37624067068099976,0.8754003047943115,-29.841875076293945,0.43635672330856323,0.800519585609436,1009.471264367816,87.0,-479.3363342285156,-479.3363342285156,199.898499250412,87.0,44,88000,440.22341503306023,40.3357048034668,2.223397970199585,0.23178140819072723
0.0,0.9999999403953552,0.00896935834762211,-41.285179138183594,3.7539150714874268,0.692654013633728,0.6886461973190308,-41.18227767944336,3.7900702953338623,0.41593316197395325,0.8284821510314941,-30.095600128173828,0.4379449784755707,0.8002763390541077,1011.5227272727273,88.0,-477.5562744140625,-477.5562744140625,204.80057883262634,88.0,45,90000,439.45188296343963,40.319217681884766,1.2917871475219727,0.21215729415416718
0.0,0.9999999403953552,0.009333550263662541,-40.94544982910156,4.105062007904053,0.7052055597305298,0.6923631429672241,-40.85474395751953,4.128387928009033,0.7149347066879272,0.6825625896453857,-30.340429306030273,0.42898693680763245,0.8050951361656189,999.9021739130435,92.0,-477.2534484863281,-477.2534484863281,209.716867685318,92.0,46,92000,438.6866970474059,40.3843994140625,2.057516574859619,0.07420480996370316
0.0,0.9999999403953552,0.009521154623962158,-40.48992919921875,4.06482458114624,0.6403399705886841,0.7372127771377563,-40.43077087402344,4.078815937042236,0.7149347066879272,0.6825625896453857,-30.53372573852539,0.43058040738105774,0.8056552410125732,999.9021739130435,92.0,-477.2534484863281,-477.2534484863281,214.57614374160767,92.0,47,94000,438.07293001404054,40.368919372558594,1.9912930727005005,0.20144200325012207
0.0,0.9999999403953552,0.009521154623962158,-41.046173095703125,4.073620796203613,0.5796506404876709,0.7464147806167603,-40.931602478027344,4.139993190765381,0.7149347066879272,0.6825625896453857,-30.714115142822266,0.43013525009155273,0.8065465688705444,999.9021739130435,92.0,-477.2534484863281,-477.2534484863281,219.38483500480652,92.0,48,96000,437.58721972690927,40.567501068115234,1.1350984573364258,0.1429164856672287
0.0,0.9999999403953552,0.009149642450409314,-41.315181732177734,4.240035057067871,0.8158833980560303,0.548492431640625,-41.235008239746094,4.293243408203125,0.7622078061103821,0.6222109794616699,-30.963542938232422,0.43554529547691345,0.8046156764030457,1049.752688172043,93.0,-505.64410400390625,-505.64410400390625,224.21653127670288,93.0,49,98000,437.077495767069,40.78107833862305,2.3910646438598633,0.3226851522922516
0.0,0.9999999403953552,0.009333550263662541,-41.520198822021484,4.164310932159424,0.673749566078186,0.6830912232398987,-41.39164733886719,4.183969497680664,0.7870065569877625,0.6083415746688843,-31.149255752563477,0.4421251118183136,0.8021591901779175,1041.157894736842,95.0,-500.92681884765625,-500.92681884765625,229.1446008682251,95.0,50,100000,436.40565660766896,40.699371337890625,1.936158299446106,0.23292259871959686
0.0,0.9999999403953552,0.009907751681525063,-41.778621673583984,3.9361207485198975,0.6231005787849426,0.7263751029968262,-41.68504333496094,3.973954677581787,0.6171900629997253,0.7095929384231567,-31.340696334838867,0.44666939973831177,0.8001513481140137,1043.2268041237114,97.0,-499.7010192871094,-499.7010192871094,234.06493711471558,97.0,51,102000,435.77650397936213,40.80442810058594,1.5408364534378052,0.12129998207092285
0.0,0.9999999403953552,0.009333550263662541,-42.16361618041992,3.7817845344543457,0.8836929798126221,0.43258166313171387,-42.08628845214844,3.8013370037078857,0.6171900629997253,0.7095929384231567,-31.51922607421875,0.4451756179332733,0.8016732335090637,1043.2268041237114,97.0,-499.7010192871094,-499.7010192871094,238.88878679275513,97.0,52,104000,435.3490232684042,40.9992790222168,2.3780391216278076,0.23046725988388062
0.0,0.9999999403953552,0.009149642450409314,-41.35111999511719,4.147157192230225,0.8005717992782593,0.5283947587013245,-41.27387619018555,4.1892619132995605,0.6967579126358032,0.6825377345085144,-31.72715187072754,0.4469318389892578,0.801140546798706,1054.171717171717,99.0,-492.275146484375,-492.275146484375,243.8005609512329,99.0,53,106000,434.7816083212501,40.65828323364258,3.3720321655273438,0.16315506398677826
0.0,0.9999999403953552,0.00896935834762211,-41.605247497558594,3.9310050010681152,0.46581780910491943,0.8097949624061584,-41.47821807861328,3.9462220668792725,0.5860307812690735,0.7524216175079346,-31.884449005126953,0.4449962377548218,0.8026856780052185,1063.02,100.0,-498.6463928222656,-498.6463928222656,248.65119910240173,100.0,54,108000,434.3433709142198,40.498329162597656,2.1005475521087646,0.1751544326543808
0.0,0.9999999403953552,0.00896935834762211,-41.645103454589844,3.714109182357788,0.6119580268859863,0.6996886134147644,-41.60117721557617,3.726928234100342,0.7998412847518921,0.5467047095298767,-32.06343460083008,0.44896161556243896,0.801317036151886,1053.0961538461538,104.0,-486.0589294433594,-476.8935852050781,253.55663132667542,104.0,55,110000,433.82813308589436,40.4542350769043,1.5229988098144531,0.21708959341049194
0.0,0.9999999403953552,0.009333550263662541,-41.13055419921875,3.9107182025909424,0.8077057600021362,0.5391163229942322,-41.05086135864258,3.9302754402160645,0.6558736562728882,0.7209685444831848,-32.231788635253906,0.4526364803314209,0.7999371290206909,1060.7047619047619,105.0,-487.8281555175781,-482.8342590332031,258.3999078273773,105.0,56,112000,433.4366871168584,40.397064208984375,3.2186930179595947,0.15705682337284088
0.0,0.9999999403953552,0.009521154623962158,-41.452232360839844,3.598647356033325,0.5113499164581299,0.8234416842460632,-41.37419509887695,3.621774196624756,0.5825304985046387,0.7611311078071594,-32.37178039550781,0.4528760015964508,0.7997907400131226,1060.7009345794393,107.0,-484.7082824707031,-480.1322937011719,263.46777057647705,107.0,57,114000,432.690494744628,40.13960647583008,1.6668848991394043,0.2257392704486847
0.0,0.9999999403953552,0.00896935834762211,-40.64126968383789,3.824230909347534,0.8004450798034668,0.5189740061759949,-40.518558502197266,3.8800225257873535,0.5106682777404785,0.8288151621818542,-32.4649543762207,0.4496326446533203,0.8019550442695618,1057.1203703703704,108.0,-482.0986328125,-478.4609680175781,268.28439235687256,108.0,58,116000,432.3769973383189,40.10506057739258,1.6261858940124512,0.11862461268901825
0.0,0.9999999403953552,0.009149642450409314,-40.84062194824219,3.6121222972869873,0.9587455987930298,0.26474907994270325,-40.67552185058594,3.670018196105957,0.5106682777404785,0.8288151621818542,-32.60625457763672,0.4420110881328583,0.8063178062438965,1057.1203703703704,108.0,-482.0986328125,-478.4609680175781,273.1976435184479,108.0,59,118000,431.92173431771187,39.987117767333984,2.133817672729492,0.22236710786819458
